;50005305;50007476;50005964;50008374;
50017345;2.43;2.43;2.43;2.07;
50017372;3.53;3.53;3.53;3;
50017373;4.1;4.1;4.1;3.49;
50017378;3.83;3.83;3.83;3.26;
50017390;4.4;4.4;4.4;3.74;
50017391;7.44;7.44;7.44;6.32;
50017400;2.94;2.94;2.94;2.5;
50017413;4.49;4.49;4.49;3.82;
50017414;5.06;5.06;5.06;4.3;
50017448;1.1;0.95;1.1;0.94;
50017454;1.72;1.72;1.72;1.46;
50030413;37.32;37.32;37.32;31.72;
50030419;23.18;23.18;23.18;19.7;
50030420;45.37;45.37;45.37;38.56;
50030424;16.46;16.46;16.46;13.99;
50030426;25.72;25.72;25.72;21.86;
50030428;24.73;24.73;24.73;21.02;
50030441;34.05;34.05;34.05;28.94;
50030444;10.56;10.56;10.56;8.98;
50030445;2.93;2.93;2.93;2.49;
50030446;6.49;6.49;6.49;5.52;
50030447;12.57;12.57;12.57;10.68;
50030448;13.77;13.77;13.77;11.7;
50030449;35.25;35.25;35.25;29.96;
50030450;14.32;14.32;14.32;12.17;
50030451;10.95;10.95;10.95;9.31;
50030452;7.65;7.65;7.65;6.5;
50030453;11.86;11.86;11.86;10.08;
50030454;10.79;10.79;10.79;9.17;
50030455;5.76;5.76;5.76;4.9;
50030456;8.51;8.51;8.51;7.23;
50030457;18.27;18.27;18.27;15.53;
50030458;7.51;7.51;7.51;6.38;
50030459;16.32;16.32;16.32;13.87;
50030460;2.64;2.64;2.64;2.24;
50030461;62.22;62.22;62.22;52.89;
50030463;22.31;22.31;22.31;18.96;
50030465;13.7;13.7;13.7;11.65;
50030466;18.24;18.24;18.24;15.5;
50030467;26.82;26.82;26.82;22.8;
50030468;29.5;29.5;29.5;25.08;
50030469;14.8;14.8;14.8;12.58;
50030471;28.51;28.51;28.51;24.23;
50030472;42.32;42.32;42.32;35.97;
50030473;12.04;12.04;12.04;10.23;
50030475;25.74;25.74;25.74;21.88;
50030477;12.56;12.56;12.56;10.68;
50030478;18.96;18.96;18.96;16.12;
50030479;26.83;26.83;26.83;22.81;
50030480;38.09;38.09;38.09;32.38;
50030482;2.12;2.12;2.12;1.8;
50030484;2.93;2.93;2.93;2.49;
50030486;2.12;2.12;2.12;1.8;
50030488;4.26;4.26;4.26;3.62;
50030489;3.5;3.5;3.5;2.98;
50030490;2.31;2.31;2.31;1.96;
